index,work_id,subject
380,23035,Portraits
381,23039,Spring
382,23041,Spring
383,23043,Summer
384,30148,Autumn/Fall
385,184585,Nude
386,184558,Nude
387,184613,Nude
388,184567,Nude
389,184622,Nude
390,184576,Nude
391,31652,Deers
392,31656,Dogs
393,31660,Deers
394,31666,Rivers/Lakes
395,31676,Dogs
396,31678,Deers
397,31686,Dogs
398,31692,Dogs
399,31694,Still-Life
400,31698,Deers
401,29726,Summer
402,29748,Rivers/Lakes
403,27353,Churches/Temples/Mosques
404,27365,Gardens
405,27365,Lovers
406,27367,Lovers
407,27369,Lovers
408,27379,Gardens
409,27379,Rivers/Lakes
410,27381,Gardens
411,27383,Gardens
412,193587,Portraits
413,193596,Portraits
414,193603,Portraits
415,193617,Portraits
416,193610,Portraits
417,193629,Portraits
418,193638,Portraits
419,193674,Portraits
420,193683,Portraits
421,193647,Portraits
422,193656,Portraits
423,193665,Portraits
424,27595,Dogs
425,27597,Christianity
426,27597,Jesus Christ
427,199604,Christianity
428,27603,Christianity
429,29980,Still-Life
430,191832,Horses
431,191845,Horses
432,191856,Horses
433,191918,Horses
434,191927,Horses
435,191867,Horses
436,191909,Horses
437,191878,Horses
438,191889,Horses
439,191900,Horses
440,122879,Portraits
441,122868,Portraits
442,122901,Portraits
443,122912,Portraits
444,122923,Summer
445,122934,Portraits
446,27143,Gardens
447,27167,Flowers
448,27169,Portraits
449,27171,Portraits
450,27173,Nude
451,27175,Summer
452,27195,Winter
453,27129,Christianity
454,27129,Nude
455,27131,Christianity
456,27131,Jesus Christ
457,30172,Nude
458,30176,Cafes/Bars
459,30182,Nude
460,6020,Landscape Art
461,6020,Rivers/Lakes
462,202259,Autumn/Fall
463,6024,Bridges
464,6032,Autumn/Fall
465,6034,Architectures
466,6036,Winter
467,6040,Rivers/Lakes
468,6042,Rivers/Lakes
469,6044,Nude
470,6050,Architectures
471,6050,Autumn/Fall
472,6056,Spring
473,6058,Winter
474,6062,Bridges
475,6062,Rivers/Lakes
476,6074,Gardens
477,6064,Seascapes
478,24159,Architectures
479,24161,Architectures
480,24163,Architectures
481,24167,Architectures
482,24167,Rivers/Lakes
483,24171,Architectures
484,24177,Architectures
485,24177,Horses
486,24179,Architectures
487,24185,Architectures
488,24187,Architectures
489,24189,Architectures
490,24189,Rivers/Lakes
491,24197,Architectures
492,198595,Architectures
493,198595,Rivers/Lakes
494,119315,Architectures
495,119315,Rivers/Lakes
496,24205,Architectures
